Participant,Timestamp,Happy_Low_M1,Happy_Low_M2,Happy_High_M1,Happy_High_M2,Angry_Low_M1,Angry_Low_M2,Angry_High_M1,Angry_High_M2
P1,0.3,0.7439367227,0.7787358223,0.8067124505,0.781879562,0.725428078,0.9187965113,0.8111392263,0.8447463782
P1,0.3005,0.7074802377,0.8397542021,0.7867799566,0.7958162612,0.6983979752,0.9105815922,0.8903864965,0.7806961231
P1,0.301,0.7777434627,0.852611402,0.8127783161,0.8296223578,0.6869071228,0.9070875382,0.8488755701,0.7279990927
P1,0.3015,0.789716596,0.8849347454,0.7944052574,0.8351640006,0.6947951796,0.9378570539,0.8381750747,0.7068458632
P1,0.302,0.8046353342,0.8893659286,0.7424956287,0.8172247681,0.6875949521,0.9522315823,0.8386116925,0.7097405335
P1,0.3025,0.8664289259,0.8961606267,0.8078611519,0.8481738962,0.6499139412,0.9109057619,0.8397853666,0.7531879363
P1,0.303,0.935855513,0.9473150467,0.7730076154,0.8170243717,0.6707930306,0.8735571711,0.7649661376,0.7915014546
P1,0.3035,0.8936769365,0.9212770679,0.7200332612,0.7937245902,0.6921997814,0.8428250076,0.7220588061,0.8689135038
P1,0.304,0.8401440433,0.842003453,0.8291389988,0.8060415088,0.7118144924,0.8448151525,0.9075513426,0.9525894685
P1,0.3045,0.7680371771,0.7480172466,0.9146619081,0.7984133383,0.679170899,0.8648505546,0.9481450368,0.9820095766
P1,0.305,0.6608780451,0.6889074611,0.9236065831,0.7277807807,0.717759623,0.8534730924,0.9125007563,0.9791233966
P1,0.3055,0.6575902308,0.7147307648,0.946844277,0.7188472246,0.7686764908,0.8177440345,0.8378674456,0.9155519369
P1,0.306,0.6692134702,0.7417592474,0.9411015252,0.716800355,0.6614006348,0.8237164852,0.8398722162,0.892375963
P1,0.3065,0.7031832861,0.7461056021,0.8756480121,0.7398418232,0.8734844776,0.8519246141,0.8058706595,0.8902858894
P1,0.307,0.7602180793,0.7809591545,0.7794604866,0.734019684,0.9048108699,0.8630101606,0.7150005837,0.9168023969
P1,0.3075,0.7181306389,0.8087388244,0.8187476803,0.7672380676,0.8174350783,0.8811876048,0.7414580613,0.9442086328
P1,0.308,0.6843634895,0.7703148254,0.8904597806,0.8293842637,0.7907122196,0.8908222449,0.8294657839,0.9331087543
P1,0.3085,0.6833713276,0.7472497553,0.8868224523,0.8643442296,0.7175212407,0.8960524016,0.8384698616,0.8735792621
P1,0.309,0.6873842555,0.7971048791,0.7794715363,0.8674096728,0.6656800293,0.9148329251,0.8810097564,0.8470120875
P1,0.3095,0.760485986,0.8525016134,0.7555763395,0.859536012,0.6253540707,0.897095237,0.9265630531,0.7814128318
P1,0.31,0.7512453856,0.9577301717,0.738661102,0.8512915728,0.6533177794,0.855109749,0.903047465,0.7210397666
P1,0.3105,0.6971647724,0.9951198437,0.7208501536,0.8357117222,0.7067457002,0.835618439,0.8715322404,0.7537043858
